ID,行业,X1,X2,X3,X4,X5,X6,X7,X8
1,冶金,90342,52455,101091,19727,82,16.1,197435,0.172
2,电力,4903,1973,2035,10313,34.2,7.1,592077,0.003
3,煤炭,6735,21139,3767,1780,36.1,8.2,726396,0.003
4,化学,49454,36241,81557,22504,98.1,25.9,348226,0.985
5,机械,139190,203505,215898,10609,93.2,12.6,139572,0.628
6,建材,12215,16219,10351,6382,62.5,8.7,145818,0.066
7,森工,2372,6572,8103,12329,184.4,22.2,20921,0.152
8,食品,11062,23078,54935,23804,370.4,41,65486,0.263
9,纺织,17111,23907,52108,21796,221.5,21.5,63806,0.276
10,缝纫,1206,3930,6126,15586,330.4,29.5,1840,0.437
11,皮革,2150,5704,6200,10870,184.2,12,8913,0.274
12,造纸,5251,6155,10383,16875,146.4,27.5,78796,0.151
13,文教艺术用品,14341,13203,19396,14691,94.6,17.8,6345,1.574
