content,creationTime,score,userClient,productColor,productSize,referenceTime,nickname,days
苹果十三是我用我最好的手机了，节前买了金色，蓝色，黑色，这次又忍不住真的活动买了绿色，还是他的刘海屏，看着顺眼，比那个14promax的什么灵动岛看着顺眼多了，绿色手机配蓝色壳子也很漂亮,2023-03-30 16:16:29,5.0,2.0,苍岭绿色,512GB,2023-03-21 07:00:05,超***哈,9.0
"相比14pm还是觉得13pm顺眼点，不错屏幕很大，很流畅，希望能多用几年。
外形外观：酷
屏幕音效：好
拍照效果：高清
运行速度：快
待机时间：长",2023-03-21 17:59:36,5.0,4.0,石墨色,512GB,2023-03-09 16:58:36,I***I,12.0
"外形外观：绿色大气很适合男生
屏幕音效：屏幕看着很舒服
拍照效果：拍照效果：苹果 拍照不用质疑简直完美
运行速度：6g运行无敌
待机时间：待机整整一星期没问题好吧",2023-03-10 11:50:06,5.0,4.0,苍岭绿色,512GB,2023-03-09 10:38:43,j***k,1.0
不愧是13pm，第四次购买了，京东国行正品有保障，还是熟悉的感觉，真的爽的一比，物流也很快，赶上了最后一批128G降价1000，真香机，这次抢到了，可以和对象1314了,2023-03-04 01:41:13,5.0,4.0,金色,128GB,2023-02-28 13:12:10,黑***6,4.0
"外形外观：不错看上去很精致
屏幕音效：也很不错目前苹果品控还是可以的
拍照效果：1200万像素，平时拍个照还是可以无法跟安卓的像素比
运行速度：由于苹果系统优势很丝滑，这也是我购买它的再一次原因
总的来说还是不错的，仔细检查一番是正品里面各种码与官网一致，值得信赖，但价钱实在是掉了厉害不到半个月就有很大价格波动，我申请价保，也算是解决了问题，总的来说还是不错了，后第一时间追评",2023-03-03 10:24:19,5.0,2.0,银色,1TB,2023-01-27 22:01:20,j***5,35.0
苹果13promax的续航太给力，又回购了一个大内存的，屏幕显示很细腻，拍照很清晰，视频能力非常给力，不卡顿,2023-04-03 12:03:42,5.0,2.0,苍岭绿色,512GB,2023-03-30 03:33:44,z***6,4.0
"外形外观：天花板级别的存在，金属边框，磨砂后盖
屏幕音效：超级清晰
拍照效果：非常好，相比较安卓几千万的像素都是轻松打过
运行速度：快",2023-03-05 15:54:04,5.0,4.0,石墨色,512GB,2023-03-03 15:10:38,z***r,2.0
"外形外观：方方正正的   精致度不错
屏幕音效：算是第一梯队吧
拍照效果：可以够用
运行速度：顺滑
待机时间：真的够猛 
其他特色：iOS动画效果真的很爽  软件适配可以的",2023-04-11 18:31:54,5.0,4.0,苍岭绿色,512GB,2023-03-21 20:55:42,j***2,21.0
"Appleiphone13 Pro max 收到了，早就想换这苹果手机了！
首先说这个音响效果特别好，喜欢音乐的可以考虑一下这款手机！其次手机拍照也是刚刚的！手机运行也很6。还有就是这个电池我试了一下灭屏一晚上电量就不流失！",2023-02-23 07:37:28,5.0,4.0,苍岭绿色,512GB,2023-02-19 09:27:54,j***J,4.0
这么一对比苍岭绿看着还不错 很高级的绿 搭配深色的壳子合适 入手皆因热爱 感谢京东  感谢京东客服 感谢京东物流,2023-04-02 17:36:38,5.0,2.0,苍岭绿色,512GB,2023-03-29 22:30:07,心***想,4.0
