content,creationTime,score,userClient,productColor,productSize,referenceTime,nickname,days
不能买Ac 失望 官网也买不了,2021-11-20 15:03:26,1,4,石墨色,128GB,2021-11-17 12:17:21,杨***o,3
"感觉还是卡顿
不是很好",2021-11-21 07:17:44,1,2,石墨色,128GB,2021-09-25 10:06:45,u***q,57
请问我的耳机送哪里去了，后面能不能把耳机补给我,2021-12-12 14:09:27,1,2,远峰蓝色,256GB,2021-12-10 21:22:52,n***0,2
*****，买完没到一周就送ac+可不可以申请补差价,2021-12-20 01:40:47,1,2,石墨色,256GB,2021-12-12 01:01:05,j***g,8
快递扔门口就走了，有才,2021-12-26 11:24:09,1,2,金色,256GB,2021-12-24 13:55:07,可***8,2
买完两天就送care？还不能申请价格保护？,2021-12-16 09:01:16,1,4,石墨色,256GB,2021-12-08 12:38:02,j***1,8
一般的手机一般的反应,2021-12-17 16:03:56,1,4,远峰蓝色,256GB,2021-10-31 20:03:28,j***y,47
我的手机膜没给予我赔偿，,2021-12-05 17:03:43,1,2,远峰蓝色,256GB,2021-12-01 15:40:55,j***h,4
别买了，马上大降价，而且ac也不一样,2021-12-12 12:40:48,1,2,石墨色,128GB,2021-12-10 12:51:21,聖***也,2
服务态度差，发个手机像个蜗牛一样。,2021-11-16 22:01:48,1,2,远峰蓝色,128GB,2021-11-11 11:37:12,j***f,5
苹果的品控越来越差了，后置摄像头两个里都有灰尘,2021-12-04 12:05:34,1,2,石墨色,256GB,2021-11-28 11:06:48,浪***a,6
手机右下方中框掉漆，新手机有瑕疵，难接受,2021-12-13 21:10:47,1,4,远峰蓝色,256GB,2021-12-09 20:37:13,j***c,4
没用多久镜头膜镜片就脱落了,2021-12-28 15:08:19,1,2,远峰蓝色,256GB,2021-11-20 11:54:57,j***s,38
没有啥优惠活动，比其他官方店贵600，,2021-11-30 20:55:51,1,2,远峰蓝色,256GB,2021-11-20 16:13:58,j***j,10
退货了，咱的ac能不能退下，三五天了一直反馈？。,2021-11-18 20:35:38,1,4,远峰蓝色,128GB,2021-11-10 20:20:46,十***汉,8
