file: 上.mp3
***********************************result**************************************
[0:53.000,0:55.180]  好，那个同学们下午好。
[0:55.200,0:56.480]  嗯。
[0:56.480,1:2.200]  我刚才在群里也发了啊，就是还是说一下那个周五那个大作业。
[1:2.300,1:4.340]  和那个实验的事情啊。
[1:4.460,1:6.400]  那个。
[1:6.400,1:10.420]  因为最后是要每个组啊，在这个实验平台上。
[1:10.420,1:11.220]  的。
[1:11.220,1:16.140]  一个我们就是三个节点，那个机器上来做，因为大家硬件都一样啊。
[1:16.320,1:18.580]  那么同时也是为了。
[1:18.580,1:22.000]  怕就就是登进来有干扰，所以。
[1:22.000,1:27.980]  我们之前会把那个环境，就是你们现在用的这些环境关掉啊。
[1:27.980,1:29.580]  其实当时那个环境。
[1:29.580,1:40.620]  嗯，平常你每次进去也是新的嘛，但是你自己可能如果有在在他里面放了东西的呀，你的程序啊，就是特别提醒你赶快，你要把它弄下来啊。
[1:40.620,1:43.220]  在周五上午之前弄下来。
[1:43.220,1:46.040]  免得你这个东西丢掉啊这个是。
[1:46.100,1:47.420]  呃。
[1:47.900,1:52.520]  呃，史诗丢掉了？那，那那很很很可惜了，你工作白干了。
[1:52.800,2:2.340]  这个清楚吧，可能你也你也不一定在那里有备份啊，你不在那备份，当然没这个关系啊，但是如果有的同学在他里面备份了。
[2:2.420,2:7.480]  是就要记得把它弄过来，然后到周五下午的时候。
[2:7.480,2:16.520]  先是这个a组的吗，A组的一二班的啊，到时候就每个组一个账号，你们组里面找一个人啊。
[2:16.520,2:20.180]  然后你们可以坐在一起吧，做做靠近来就是一起参谋着。
[2:20.180,2:24.520]  因为真正运行的时候是每个组就是一个代表登进去。
[2:24.520,2:26.100]  那么那个环境。
[2:26.380,2:33.040]  其他跟你们现在用的都是一样的，只不过里面还有数据啊，我们是把那个数据也打包到里面去了。
[2:33.080,2:43.320]  数据的话就是那个手机漫游的那个信息啊，我我不是给了个样例吗，那么实际的是一个8G的一个文件。
[2:43.320,2:46.200]  八吉字节啊，里面是有两一条记录啊。
[2:46.200,2:48.160]  这是你们要在里面。
[2:48.160,2:50.340]  里面找着这个其实。
[2:50.340,2:53.160]  也不多，这可能是一个。
[2:53.160,2:56.320]  一个几百万人口的啊一个。
[2:56.320,3:1.300]  城市里面的啊，漫游一天的啊，一天的漫游的，大概的情况。
[3:1.540,3:2.780]  嗯。
[3:2.820,3:9.540]  但是有还有一点不同，就是给你们每个组的，不是有一个就是感染人的那个列表吗。
[3:9.540,3:12.620]  就是那个小文件，每个组是不一样的啊。
[3:12.760,3:27.380]  就是，所以这但对程序上每个组是不一样的，所以你们主做你们自己的就就可以，这里当然的文件名就有点不同，文件名，现在在那个infected后面是带了那个a。
[3:27.380,3:30.960]  A01A02，带了主号的啊，你们自己。
[3:30.960,3:35.380]  注意一下，如果你们的程序还是用的那个文件名，你把那个文件。
[3:35.380,3:37.240]  下来改一下啊。
[3:37.860,3:43.460]  那么这个文件的给法就在这里，也是为了做到公平，在这里还是有个步骤。
[3:43.460,3:51.300]  就是给你们环境之后，因为这个环境加载啊，他又带了一些数据，可能要些时间各种就不一样啊。
[3:51.300,3:56.040]  所以呢他差的不大，但是为了就是公平，就是这个时候。
[3:56.060,4:1.480]  开始啦，把这个数据给你们，你们都把这个环境加载起起来。
[4:1.480,4:3.860]  大家都说都起起来了之后。
[4:3.860,4:13.340]  这个时候下一步就是统一告诉你们去下载那个赶那个感染那个文件很小嘛，那里面就就还是每每个里面就十个。
[4:13.380,4:15.340]  就十个这个。
[4:15.480,4:21.880]  呃感染人啊，那么这个下发当然就是同意开始了，然后提交。
[4:21.880,4:26.580]  你的结果出来大家还都清楚吧，提交时你把那个文件做出来。
[4:26.580,4:33.140]  第一个就是那个普遍感染的，这是最核心的这个啊，首先你要把这个就是不分那个时间。
[4:33.140,4:36.880]  这个排除的，你做完了就赶快发到微信群里。
[4:37.040,4:42.420]  那个名字一定要按我那个里面要求的那个什么入mark。
[4:42.420,4:46.120]  完了把那特别你的主号，你要给写对了，否则那么。
