uid,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,y
10000,0,0,117.99644170000002,4,42.07037676,12.62784867,1,6.520357184,1,0,1,0,1,1,0,0,41.09226831,21,1,25.97237729,0
10001,1,1,-1.0,0,43.77862902,49.58369023,1,0.0,1,0,1,0,1,1,1,1,1.478924605,24,4,41.33188536,0
10002,1,1,111.64630770000001,0,59.38728929,26.33234023,1,216.1895799,1,0,1,0,1,1,13,0,1.8652232340000001,41,1,55.99328869,0
10003,1,1,-1.0,0,48.98457978,1.784561277,1,0.0,1,0,1,0,1,1,1,1,17.32784556,17,2,42.25675108,0
10004,1,1,119.4497412,15,82.05913877,14.13305467,1,74.6221497,1,14,1,0,1,3,10,1,55.61163079,37,2,44.14037006,0
10005,1,1,114.05388,0,46.25827858,34.45583999,1,19.51478476,1,9,1,0,1,5,11,1,15.82237741,36,1,48.25614746,0
10006,0,0,117.2065784,46,48.49394372,68.39871708,1,0.0,1,0,1,0,1,1,4,0,78.7607615,14,1,22.04562963,1
10007,0,0,-1.0,0,66.16962029,23.99991803,1,16.49208339,1,8,1,0,1,4,1,0,31.37524286,26,1,34.79057715,0
10008,1,1,116.95787820000001,0,335.16321039999997,37.22379374,1,31.07296065,1,3,1,0,1,4,9,1,51.65247769,395,3,196.3510079,0
10009,0,0,118.51093279999999,0,32.01320716,29.82578514,1,49.72540631,1,0,1,0,1,1,0,0,-1.0,16,2,19.91646673,0
10010,1,0,-1.0,0,92.29014472,36.0795054,1,0.11879863199999999,1,6,1,0,1,4,1,0,-1.0,37,58,112.25583590000002,0
10011,0,0,104.55097540000001,7,47.331998399999996,17.2857757,1,28.97085011,1,5,1,0,1,3,6,0,69.24932094,37,11,45.00838132,0
10012,1,1,115.05255030000001,0,45.76432867,59.41073597,1,52.30374571,1,0,1,0,1,1,3,2,48.07622369,39,2,43.10144596,0
10013,1,1,119.3097774,0,130.0617093,25.27160649,1,153.4391284,1,25,1,0,1,6,5,1,46.99827578,92,4,154.52485990000002,0
10014,1,1,-1.0,0,91.45805605,41.05074339,1,0.42292491299999996,1,9,1,0,1,10,1,0,-1.0,37,1,105.34958290000002,0
10015,0,0,116.02193670000001,0,83.9242306,15.44969848,1,42.2311874,1,12,1,0,1,4,18,0,6.53552428,17,1,66.25963286,0
10016,0,0,-1.0,0,50.01750245,35.98021509,1,0.0,1,6,1,0,1,2,0,0,-1.0,121,2,40.75894354,0
10017,1,1,119.9322811,8,100.63030479999999,7.50094161,1,45.22769016,1,13,1,0,1,18,24,3,67.58804736,44,9,101.8822987,0
10018,0,0,-1.0,0,60.79186779,28.26603833,1,0.0,1,6,1,0,1,4,0,0,-1.0,14,2,43.03463314,0
10019,1,1,-1.0,0,59.43911935,16.56444179,1,0.7935423640000001,1,1,1,0,1,2,1,1,59.71814068,109,1,46.72386806,1
10020,0,0,113.3975356,0,15.98882787,18.34107761,1,7.732640171,1,0,1,0,1,2,1,0,0.48746052799999995,8,1,14.0,0
10021,0,0,-1.0,8,73.70367559,24.88266527,1,0.026438701000000002,1,1,1,0,1,4,30,0,80.28787043,8,1,34.64387011,0
10022,0,0,113.8248909,4,23.040306100000002,40.70726521,1,21.38050581,1,19,1,0,1,3,26,0,151.35179319999997,14,1,35.58062092,0
10023,1,16,110.77510090000001,15,76.38731075,26.21739554,1,778.6061975,1,25,1,0,1,3,2,22,81.09841637,39,1,59.22545589,1
10024,0,0,116.6356415,0,32.44471149,29.10810337,1,34.25875823,1,12,1,0,1,1,0,0,2.024147001,16,2,22.79152031,0
10025,1,1,116.39275330000001,0,88.16989022,18.68374281,1,75.72682905,1,7,1,0,1,3,11,1,6.041136531,40,9,77.05961449,0
10026,1,8,117.04188880000001,0,155.898681,0.083974147,1,0.170418121,1,23,1,0,1,5,9,8,4.466508608,73,2,133.3435337,1
10027,1,0,-1.0,0,79.80639913,13.40344039,1,2.767445367,1,0,1,0,1,10,1,0,3.291235402,24,1,46.21570254,0
10028,0,0,115.61427309999999,0,41.56979242,13.42323849,1,15.34337533,1,12,1,0,1,4,0,0,11.95507565,16,1,28.09676253,1
10029,1,0,120.9286007,0,41.38300567,26.44398697,1,28.07514018,1,0,1,0,1,8,0,0,26.48486982,30,3,36.76401868,1
10030,1,1,-1.0,0,56.85325646,18.00463378,1,79.88561183,1,0,1,0,1,4,11,1,30.19487417,12,1,45.78567011,0
10031,1,1,116.95063799999998,0,222.86790630000002,15.39007216,1,28.98321313,1,15,1,0,1,18,1,1,141.3504695,432,2,175.1552344,0
10032,1,8,120.0888283,0,148.9764802,4.726670508,1,0.0,1,4,1,0,1,5,9,8,3.0511480410000003,73,2,129.16267720000002,0
10033,1,0,113.4950584,0,136.3181989,28.04086669,1,0.0,1,11,1,0,1,5,4,8,-1.0,59,4,116.0,0
10034,1,1,111.34079950000002,4,140.7982017,28.61439672,1,328.31101,1,8,1,0,1,1,10,1,119.6446788,109,6,185.5716993,1
10035,0,0,118.2485175,4,18.9197275,33.14726064,1,33.82133587,1,96,1,0,1,2,5,0,181.803132,31,1,30.80109557,0
10036,1,1,118.488904,4,40.9680414,33.75128491,1,8.186010446000001,1,36,1,0,1,1,4,1,54.64661121,13,1,21.44248705,1
10037,0,0,119.0804558,0,98.79474474,25.27939556,1,42.5143657,1,18,1,0,1,13,3,0,-1.0,13,1,101.242701,0
10038,1,1,117.82040220000002,0,71.52070942,5.12096665,1,38.80538074,1,30,1,0,1,2,5,1,16.91044403,36,1,42.74366783,0
10039,1,1,119.3904919,14,53.5520198,28.28465974,1,15.66413824,3,22,1,0,1,8,28,1,209.7652411,77,6,39.91428674,0
10040,1,0,-1.0,0,133.50332930000002,39.52004729,1,3.6024870310000003,1,6,1,0,1,2,0,0,10.33319663,37,2,132.1067836,0
10041,1,0,116.2143875,5,39.79910373,47.95705299,1,3.436258488,1,0,1,0,1,2,2,0,109.40173859999999,79,3,38.28167385,0
10042,1,1,-1.0,0,113.11942020000001,0.246989552,1,0.533459833,1,6,1,0,1,2,2,11,-0.033897193,54,2,125.8460156,0
10043,1,1,115.0748432,8,60.48982621,33.64144456,1,6.051431662000001,1,34,1,0,1,6,15,12,136.7237657,79,1,40.39474083,1
10044,1,1,115.0660659,10,148.96662680000003,33.44045353,1,25.96960863,2,6,1,0,1,8,3,1,199.7186469,466,2,56.43464748,0
10045,0,0,-1.0,0,88.56397943,0.579626847,1,0.0,1,18,1,0,1,3,4,0,-0.889619797,26,2,67.0,0
10046,1,16,104.07555,15,81.51948369,27.49673161,1,803.5377496,1,25,1,0,1,1,2,22,93.84268385,39,1,67.64539699,0
10047,1,0,120.6875364,0,92.90430621,12.28613455,1,273.2721576,1,5,1,0,1,3,6,0,7.238198304,86,1,71.71527258,0
10048,1,16,119.5588305,0,85.76791237,59.95386835,1,189.94156669999998,12,25,1,0,1,6,4,11,88.04651549,41,14,227.0980517,0
10049,1,1,-1.0,0,28.19614231,21.29787301,1,13.92156898,1,0,1,0,1,7,0,3,18.21323073,21,2,34.22887166,0
10050,1,0,109.67188190000002,0,70.56304538,27.80488955,1,21.47610256,1,12,1,0,1,16,48,0,15.91450443,75,1,51.63641668,0
10051,1,0,-1.0,0,164.253374,26.933151300000002,1,26.37179094,1,3,1,0,1,2,2,0,0.531147259,106,10,131.6505143,0
10052,1,12,117.9391268,0,161.0621271,13.46699516,1,14.41905253,1,4,1,0,1,4,1,8,-0.433195344,109,2,153.52247260000001,0
10053,0,0,-1.0,0,133.81070590000002,52.63135187,1,4.2090221969999995,1,9,1,0,1,2,2,0,-1.0,59,2,111.6566044,0
10054,1,0,-1.0,0,89.45441193,30.38096102,1,14.06608988,1,6,1,0,1,2,2,0,2.797157827,106,1,98.70722045,0
10055,1,1,119.38048429999999,0,60.97053341,30.11691832,1,40.43201486,1,4,1,0,1,6,1,1,115.38897779999999,84,3,65.41955375,0
10056,1,1,-1.0,0,81.90066463,13.99066092,1,0.7910712959999999,1,9,1,0,1,2,1,1,2.6975005569999997,64,2,63.89116051,0
10057,0,0,-1.0,0,21.6088,28.56563128,1,8.844234271,1,0,1,0,1,1,0,0,25.57009915,21,1,21.80472546,0
10058,1,1,120.2516551,0,99.83208072,25.68755972,1,55.202364100000004,2,7,1,0,1,3,2,3,66.48858052,67,1,115.0501261,0
10059,1,1,118.63354059999999,0,73.65298017,12.9539544,1,27.59477002,1,0,1,0,1,6,1,1,19.93066812,37,1,25.64179223,0
10060,0,0,119.68649209999998,0,49.37849954,34.24146382,1,27.52819706,1,18,1,0,1,3,1,0,9.696934933,17,2,69.46636114,0
