uid,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,y
0,0,0,120.45602,0,85.59,26.72,1,0,1,7,1,0,1,3,5,0,-1,307,2,68,1
1,1,7,118.7609,0,41.39,9.05,1,55.15,1,30,1,0,1,2,7,2,-1,33,1,29,1
2,1,2,-1,0,22.3,24.04,1,38.54,2,9,1,0,1,4,13,3,-1,19,2,21,1
3,1,1,113.8987698,0,63.20623097,30.229573,1,81.69092136,1,18,1,0,1,3,3,0,33.68317297,39,13,63.40762031,0
4,69,74,-1,7,138.13,9.82,1,0,22,35,1,121,1,10,160,7,84.71,67,21,167,1
5,1,4,120.08366,0,76.65,22.79,1,42.75,1,47,1,0,1,5,57,3,-1,72,4,63,1
6,22,13,118.7609,65,34.7,15.1,1,35.84,1,40,1,3,1,21,9,3,70.15,19,1,26,1
7,0,0,108.26727,0,62.88,0,1,19.41,4,9,180,0,1,5,34,0,-1,71,1,44,1
8,178,147,112.39228,5,62.52,21.19,1,0,27,20,1,0,1,6,9,26,20.81,41,9,73,0
9,1,20,126.76951,14,72.85,5.71,177,5.05,1,44,1,0,1,7,45,9,17.87,102,1,39,1
10,0,0,113.41933,0,40.8,41.97,1,0,1,18,1,0,1,10,16,0,-1,49,3,34,0
11,0,0,-1,0,60.62180961,34.19651606,1,11.2713044,1,8,1,0,1,4,0,0,125.8378118,412,1,30.95313371,0
12,0,0,121.47262,29,26.58,55.56,3,0,1,41,1,0,1,1,10,0,34,15,5,16,1
13,1,1,115.6185266,0,59.16097223,29.40905447,1,62.78082676,1,0,1,0,1,1,4,2,29.15503535,39,4,59.2639235,0
14,1,0,113.6537067,34,84.32761955,16.15115039,1,0.058563595,2,13,1,0,1,8,1,0,57.66377902,70,2,96.20782706,0
15,0,0,120.08366,7,27.15,0,7,3.3,1,0,1,0,1,1,6,0,16,22,4,26,1
16,152,256,112.96831,0,126.61,31.5,1,0,1,6,1,0,1,17,1,96,32.97,73,5,158,1
17,1,1,-1,0,45.46238361,0.056462585,1,0.008017231,1,1,1,0,1,3,1,1,60.74292892,12,2,31.98100182,0
18,106,84,-1,9,69.64,24.13,1,327.95,1,54,1,0,1,5,4,82,40.76,40,15,91,0
19,3,27,119.30322,0,63.9,20.08,1,41.43,1,40,1,0,1,3,8,3,-1,16,4,49,1
20,1,5,118.12581,23,85.41,37.25,1,117.57,1,61,1,0,1,10,63,2,28.88,18,27,96,1
21,1,0,114.9166438,0,124.698562,10.14115718,1,109.7721254,1,14,1,0,1,3,16,0,1.616486096,39,19,110.206131,1
22,1,3,112.96831,20,31.76,15.17,4,32.94,1,34,1,0,1,21,38,4,31.38,25,6,22,1
23,0,0,-1,0,71.51299621,44.37331768,1,0.496169192,1,31,1,0,1,2,4,0,53.21341465,109,3,54.70881313,0
24,0,0,119.119,36,68.34,64.97,15,8.81,2,150,1,0,189,3,0,0,55.46,117,5,52,1
25,0,0,109.46801,0,74.75,45.25,1,49.81,6,3,1,0,1,28,76,0,-1,56,17,48,1
26,0,0,-1,0,134.6690324,17.53027125,1,0,1,3,1,0,1,3,7,0,4.671397223,70,1,54.11855103,0
27,142,84,113.26762,13,35.96,22.23,1,0.58,1,2,1,0,1,5,4,18,25.8,16,3,28,1
28,64,50,113.41933,81,48.73,55.57,6,0.11,1,218,1,138,1,5,14,29,126.24,45,6,58,1
29,1,1,120.34272,0,115.9,10.07,1,35.17,3,14,1,0,1,14,3,1,-1,83,5,89,0
30,39,27,104.07102,42,72.7,40.29,1,117.11,1,16,4,0,1,5,12,21,40.21,4,16,30,1
31,11,58,116.27932,97,110.49,5.7,1,26.83,24,8,1,0,1,31,59,6,119.45,70,3,77,1
32,41,70,-1,4,45.57,55.9,1,21.91,1,108,1,0,1,2,102,17,3.76,26,36,48,1
33,1,1,108.1818373,0,66.38205693,13.39629082,1,549.8416516,1,2,1,0,1,3,2,1,46.73704588,39,4,73.52135721,0
34,1,1,120.64772,0,101.27,37.47,1,15.58,12,60,1,124,1,5,21,1,-1,135,5,22,1
35,1,90,-1,0,99.14,57.06,1,335.91,6,3,260,0,1,4,16,11,-1,69,18,89,1
36,1,0,-1,0,189.3080588,0,1,0,1,1,1,0,1,4,2,0,11.0851642,214,2,190.7958708,1
37,1,2,126.62252,0,42.4,0,145,20.45,4,20,64,0,1,16,1,2,154.8,9,1,36,1
38,0,0,116.0894029,14,9.261857834,26.37366003,1,0.209329652,1,29,1,0,1,7,19,0,189.4901239,31,1,14.36405157,0
