ID,DEWP,Ir,Is,Iws,PRES,TEMP,cbwd_NE,cbwd_NW,cbwd_SE,cbwd_cv,date,hour,Label
0,-16,0,0,1.79,1020.0,-4.0,0,0,1,0,2010-01-02,0,129.0
1,-15,0,0,2.68,1020.0,-4.0,0,0,1,0,2010-01-02,1,148.0
2,-11,0,0,3.57,1021.0,-5.0,0,0,1,0,2010-01-02,2,159.0
3,-7,0,1,5.36,1022.0,-5.0,0,0,1,0,2010-01-02,3,181.0
4,-7,0,2,6.25,1022.0,-5.0,0,0,1,0,2010-01-02,4,138.0
5,-7,0,3,7.14,1022.0,-6.0,0,0,1,0,2010-01-02,5,109.0
6,-7,0,4,8.93,1023.0,-6.0,0,0,1,0,2010-01-02,6,105.0
7,-7,0,0,10.72,1024.0,-5.0,0,0,1,0,2010-01-02,7,124.0
8,-8,0,0,12.51,1024.0,-6.0,0,0,1,0,2010-01-02,8,120.0
9,-7,0,0,14.3,1025.0,-5.0,0,0,1,0,2010-01-02,9,132.0
10,-7,0,1,17.43,1026.0,-5.0,0,0,1,0,2010-01-02,10,140.0
11,-8,0,0,20.56,1026.0,-5.0,0,0,1,0,2010-01-02,11,152.0
12,-8,0,0,23.69,1026.0,-5.0,0,0,1,0,2010-01-02,12,148.0
13,-8,0,0,27.71,1025.0,-5.0,0,0,1,0,2010-01-02,13,164.0
14,-9,0,0,31.73,1025.0,-5.0,0,0,1,0,2010-01-02,14,158.0
15,-9,0,0,35.75,1025.0,-5.0,0,0,1,0,2010-01-02,15,154.0
16,-9,0,0,37.54,1026.0,-5.0,0,0,1,0,2010-01-02,16,159.0
17,-8,0,0,39.33,1027.0,-5.0,0,0,1,0,2010-01-02,17,164.0
18,-8,0,0,42.46,1027.0,-5.0,0,0,1,0,2010-01-02,18,170.0
19,-8,0,0,44.25,1028.0,-5.0,0,0,1,0,2010-01-02,19,149.0
20,-7,0,0,46.04,1028.0,-5.0,0,0,1,0,2010-01-02,20,154.0
21,-7,0,1,49.17,1027.0,-5.0,0,0,1,0,2010-01-02,21,164.0
22,-8,0,2,52.3,1028.0,-6.0,0,0,1,0,2010-01-02,22,156.0
23,-8,0,3,55.43,1027.0,-6.0,0,0,1,0,2010-01-02,23,126.0
24,-7,0,4,58.56,1027.0,-6.0,0,0,1,0,2010-01-03,0,90.0
25,-8,0,5,61.69,1026.0,-6.0,0,0,1,0,2010-01-03,1,63.0
26,-8,0,6,65.71,1026.0,-7.0,0,0,1,0,2010-01-03,2,65.0
27,-8,0,7,68.84,1025.0,-7.0,0,0,1,0,2010-01-03,3,55.0
28,-8,0,8,72.86,1024.0,-7.0,0,0,1,0,2010-01-03,4,65.0
29,-9,0,9,76.88,1024.0,-8.0,0,0,1,0,2010-01-03,5,83.0
30,-10,0,10,80.9,1024.0,-8.0,0,0,1,0,2010-01-03,6,91.0
31,-10,0,11,84.92,1024.0,-9.0,0,0,1,0,2010-01-03,7,86.0
32,-10,0,12,89.84,1024.0,-9.0,0,0,1,0,2010-01-03,8,82.0
33,-11,0,13,93.86,1023.0,-9.0,0,0,1,0,2010-01-03,9,86.0
34,-11,0,15,97.88,1023.0,-9.0,0,0,1,0,2010-01-03,10,78.0
35,-11,0,16,102.8,1022.0,-9.0,0,0,1,0,2010-01-03,11,98.0
36,-11,0,17,105.93,1021.0,-9.0,0,0,1,0,2010-01-03,12,107.0
37,-11,0,19,111.74,1020.0,-9.0,0,0,1,0,2010-01-03,13,90.0
38,-11,0,20,116.66,1020.0,-9.0,0,0,1,0,2010-01-03,14,96.0
39,-11,0,21,121.58,1020.0,-9.0,0,0,1,0,2010-01-03,15,95.0
40,-11,0,22,124.71,1020.0,-9.0,0,0,1,0,2010-01-03,16,86.0
41,-11,0,23,127.84,1020.0,-9.0,0,0,1,0,2010-01-03,17,70.0
42,-11,0,24,0.89,1021.0,-9.0,0,0,0,1,2010-01-03,18,61.0
43,-11,0,25,1.78,1022.0,-9.0,0,0,0,1,2010-01-03,19,53.0
44,-10,0,26,4.02,1022.0,-9.0,0,1,0,0,2010-01-03,20,71.0
45,-11,0,27,7.15,1023.0,-10.0,0,1,0,0,2010-01-03,21,72.0
46,-11,0,0,11.17,1023.0,-9.0,0,1,0,0,2010-01-03,22,76.0
47,-12,0,0,14.3,1023.0,-11.0,0,1,0,0,2010-01-03,23,73.0
48,-14,0,0,16.09,1023.0,-12.0,0,1,0,0,2010-01-04,0,79.0
49,-16,0,0,21.9,1023.0,-9.0,0,1,0,0,2010-01-04,1,58.0
50,-17,0,0,29.95,1024.0,-10.0,0,1,0,0,2010-01-04,2,25.0
51,-18,0,0,39.78,1024.0,-11.0,0,1,0,0,2010-01-04,3,26.0
52,-19,0,0,48.72,1025.0,-11.0,0,1,0,0,2010-01-04,4,28.0
53,-20,0,0,55.87,1026.0,-12.0,0,1,0,0,2010-01-04,5,26.0
54,-21,0,0,64.81,1027.0,-12.0,0,1,0,0,2010-01-04,6,20.0
55,-21,0,0,73.75,1027.0,-13.0,0,1,0,0,2010-01-04,7,29.0
56,-22,0,0,80.9,1028.0,-13.0,0,1,0,0,2010-01-04,8,26.0
57,-22,0,0,90.73,1029.0,-13.0,0,1,0,0,2010-01-04,9,27.0
58,-22,0,0,100.56,1030.0,-12.0,0,1,0,0,2010-01-04,10,27.0
59,-23,0,0,108.61,1031.0,-12.0,0,1,0,0,2010-01-04,11,25.0
60,-21,0,0,117.55,1030.0,-11.0,0,1,0,0,2010-01-04,12,29.0
61,-20,0,0,127.38,1030.0,-10.0,0,1,0,0,2010-01-04,13,32.0
62,-21,0,0,136.32,1030.0,-10.0,0,1,0,0,2010-01-04,14,28.0
63,-21,0,0,145.26,1030.0,-9.0,0,1,0,0,2010-01-04,15,29.0
64,-21,0,0,152.41,1031.0,-9.0,0,1,0,0,2010-01-04,16,30.0
65,-20,0,0,159.56,1032.0,-11.0,0,1,0,0,2010-01-04,17,30.0
66,-23,0,0,165.37,1032.0,-11.0,0,1,0,0,2010-01-04,18,28.0
67,-21,0,0,171.18,1033.0,-12.0,0,1,0,0,2010-01-04,19,26.0
68,-24,0,0,180.12,1034.0,-12.0,0,1,0,0,2010-01-04,20,31.0
69,-24,0,0,187.27,1034.0,-13.0,0,1,0,0,2010-01-04,21,33.0
70,-24,0,0,195.32,1035.0,-13.0,0,1,0,0,2010-01-04,22,29.0
71,-26,0,0,198.45,1035.0,-15.0,0,1,0,0,2010-01-04,23,31.0
72,-26,0,0,201.58,1035.0,-17.0,0,1,0,0,2010-01-05,0,30.0
73,-26,0,0,205.6,1035.0,-18.0,0,1,0,0,2010-01-05,1,34.0
74,-26,0,0,208.73,1035.0,-19.0,0,1,0,0,2010-01-05,2,27.0
75,-27,0,0,213.65,1035.0,-18.0,0,1,0,0,2010-01-05,3,25.0
76,-27,0,0,218.57,1035.0,-19.0,0,1,0,0,2010-01-05,4,28.0
77,-27,0,0,4.92,1034.0,-16.0,1,0,0,0,2010-01-05,5,28.0
78,-26,0,0,8.05,1035.0,-16.0,1,0,0,0,2010-01-05,6,27.0
79,-27,0,0,13.86,1034.0,-16.0,1,0,0,0,2010-01-05,7,27.0
80,-26,0,0,18.78,1035.0,-16.0,1,0,0,0,2010-01-05,8,27.0
81,-26,0,0,24.59,1035.0,-15.0,1,0,0,0,2010-01-05,9,29.0
82,-25,0,0,29.51,1035.0,-14.0,1,0,0,0,2010-01-05,10,36.0
83,-25,0,0,34.43,1035.0,-13.0,1,0,0,0,2010-01-05,11,30.0
84,-25,0,0,39.35,1034.0,-12.0,1,0,0,0,2010-01-05,12,27.0
85,-24,0,0,41.14,1032.0,-11.0,1,0,0,0,2010-01-05,13,39.0
86,-22,0,0,0.89,1032.0,-11.0,0,0,0,1,2010-01-05,14,41.0
87,-23,0,0,1.79,1031.0,-11.0,0,1,0,0,2010-01-05,15,33.0
