ID,Label,Email
0,ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
1,spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
2,ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN."
3,ham,Ya very nice. . .be ready on thursday
4,ham,Okie
5,ham,Are you sure you don't mean \get here
6,ham,Not course. Only maths one day one chapter with in one month we can finish.
7,spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
8,ham,Went to ganesh dress shop
9,ham,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
10,ham,I will see in half an hour
11,ham,"THAT逭S ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DON逭T WORRY.C U L8TR HUN!LOVE Yaxxx"
12,ham,My phone
13,ham,Are you planning to come chennai?
14,ham,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee
15,ham,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over."
16,ham,Anything lor... U decide...
17,ham,"As usual..iam fine, happy &amp; doing well..:)"
18,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
19,ham,Yar lor... How u noe? U used dat route too?
20,ham,They r giving a second chance to rahul dengra.
21,ham,Friends that u can stay on fb chat with
22,ham,Po de :-):):-):-):-). No need job aha.
23,ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
24,ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
25,ham,No. On the way home. So if not for the long dry spell the season would have been over
26,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
27,ham,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne."
28,ham,Dude sux for snake. He got old and raiden got buff
29,ham,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.
30,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
31,ham,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no
32,ham,I said its okay. Sorry
33,ham,Does she usually take fifteen fucking minutes to respond to a yes or no question
34,ham,Im just wondering what your doing right now?
35,ham,Lol ok. I'll snatch her purse too.
36,ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
37,ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
38,ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... 
39,ham,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?
40,ham,Can you do a mag meeting this avo at some point?
41,ham,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
42,ham,Yesterday its with me only . Now am going home.
43,ham,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
44,ham,"Sorry, I'll call later"
45,ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
46,ham,"Yeah, we got one lined up for us"
47,ham,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
48,ham,"Sir, I need AXIS BANK account no and bank address."
49,ham,"Me, i dont know again oh"
50,ham,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! 
51,ham,But if she.s drinkin i'm ok.
52,ham,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
53,ham,Dunno dat's wat he told me. Ok lor...
54,ham,K.k.how is your business now?
55,ham,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
56,spam,"URGENT!: Your Mobile No. was awarded a ?,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
57,ham,And popping &lt;#&gt; ibuprofens was no help.
58,spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed ?000 cash or ?000 prize!
59,ham,here is my new address -apples&pairs&all that malarky
60,ham,I will reach ur home in  &lt;#&gt;  minutes
61,ham,Misplaced your number and was sending texts to your old number. Wondering why i've not heard from you this year. All the best in your mcat. Got this number from my atlanta friends
62,ham,Just normal only here :)
63,ham,Y bishan lei... I tot ?say lavender? 
64,ham,Tell them u have a headache and just want to use 1 hour of sick time.
65,spam,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls ?/minMobsmoreLKPOBOX177HP51FL
66,ham,Its sarcasm.. .nt scarcasim
67,ham,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
68,ham,Yeah confirmed for you staying at  that weekend
69,ham,I notice you like looking in the shit mirror youre turning into a right freak
70,ham,Wishing you a wonderful week.
71,ham,That day you asked about anand number. Why:-)
72,ham,"Sorry, I'll call later"
73,ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
74,ham,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX
75,ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
76,spam,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs)
77,ham,Love you aathi..love u lot..
78,ham,Yeah I can still give you a ride
79,ham,Do ?all wan 2 meet up n combine all the parts? How's da rest of da project going?
80,ham,\HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS
81,ham,Mmmm.... I cant wait to lick it!
82,ham,Your bill at 3 is ?3.65 so thats not bad!
83,ham,Y lei?
84,ham,"Sorry, I'll call later"
85,ham,Is ur lecture over?
86,ham,Mmm so yummy babe ... Nice jolt to the suzy
87,spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
88,spam,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
89,ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
90,ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
91,ham,K sure am in my relatives home. Sms me de. Pls:-)
92,ham,Its a part of checking IQ
93,ham,Okay... I booked all already... Including the one at bugis.
94,ham,Don know. I did't msg him recently.
95,spam,"Last Chance! Claim ur ?50 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. ?.00 Sub. 16"
96,spam,"Win the newest 壽螲arry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
97,ham,I sent your maga that money yesterday oh.
98,ham,U 2.
99,ham,Sure but since my parents will be working on Tuesday I don't really need a cover story
100,ham,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)
101,spam,RGENT! This is the 2nd attempt to contact U!U have WON ?250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max?. 50
102,ham,Also track down any lighters you can find
103,spam,WIN a year supply of CDs 4 a store of ur choice worth ?00 & enter our ?00 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
104,ham,"I'm back, lemme know when you're ready"
105,ham,It should take about  &lt;#&gt;  min
106,ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care."
107,ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
108,ham,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
109,ham,Sorry me going home first... Daddy come fetch ?later...
110,ham,Did u got that persons story
111,ham,I like you peoples very much:) but am very shy pa.
112,ham,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:
113,ham,K:)k.are you in college?
114,ham,Dude how do you like the buff wind.
115,ham,Ok good then i later come find ?.. C lucky i told ?to go earlier... Later pple take finish ?no more again...
116,ham, gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. 
117,ham,Anything lor if they all go then i go lor...
118,ham,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...
119,ham,I have a rather prominent bite mark on my right cheek
120,ham,Nothing will ever be easy. But don't be looking for a reason not to take a risk on life and love
121,ham,R u still working now?
122,ham,"Arms fine, how's Cardiff and uni? "
123,ham,Loosu go to hospital. De dont let it careless.
124,ham,Ok ill send you with in  &lt;DECIMAL&gt;  ok.
125,ham,What happen to her tell the truth
126,ham,Yup having my lunch buffet now.. U eat already?
127,ham,U dun say so early hor... U c already then say...
128,ham,?thk of wat to eat tonight.
129,ham,My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:)
130,ham,"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it."
131,ham,Ok i juz receive..
132,ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
133,ham,Do I? I thought I put it back in the box
134,ham,Uhhhhrmm isnt having tb test bad when youre sick
135,ham,S:-)if we have one good partnership going we will take lead:)
136,ham,"Sorry, was in the bathroom, sup"
137,ham,K I'll be sure to get up before noon and see what's what
138,ham,:) 
139,ham,I like dis sweater fr mango but no more my size already so irritating.
140,spam,+123 Congratulations - in this week's competition draw u have won the ?450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
141,ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
142,ham,"Not sure yet, still trying to get a hold of him"
